genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene1398,0,0,0,0,0,0,0,0,0,0,112023,0,0,0,0,0,0,0,0,0
gene1399,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0
gene1400,9,0,0,0,0,1,1,3,0,11,0,0,0,0,0,0,0,0,0,1
gene1401,529,30,5,0,0,0,200,0,0,32,1,1,1,2,3,1,0,0,2,0
gene1402,0,6,0,1,0,1690,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene1403,0,0,144,2,102,0,26,0,6,189,0,0,0,0,0,0,0,0,0,0
gene1404,1,289537,0,19530,3293,0,0,86,0,0,0,25063,0,0,0,0,0,0,0,0
gene1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gene1406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3143,0,0,0,0
gene1407,0,7,0,0,0,52,0,0,16,2,1,11,1,15,9,5,4,0,3,0
gene1408,3,2,1,0,0,4,0,1,0,2,1,0,1,0,0,0,0,0,0,0
gene1409,0,0,0,0,0,0,0,0,0,0,86,22,13,19,3,93,61,3,7,69
gene1410,0,2,5,6,0,0,10,2,1,36,0,0,0,0,0,0,0,0,0,0
gene1411,2,32,0,98,10,3,10,4,82,73,0,0,1,0,1,0,0,1,0,2
gene1412,59,0,278,0,1,0,1651,0,0,1275,9,0,0,0,1,0,0,0,1,0
gene1413,0,0,0,0,0,30,3068,4197,0,593,0,0,631,0,0,0,0,0,0,2549
gene1414,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,2,0,49,1
gene1415,33,6,6,0,10,14,0,8,3,51,179,0,132,0,141,0,110,0,1,0
gene1416,0,0,0,0,281,0,14032,1,0,9331,0,585,1306,800,0,69,174,12431,264,320
gene1417,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2935,0,0
gene1418,23,20,73,0,0,18,14,196,94,6,87,498,1011,1,0,0,37,4,0,11
gene1419,0,0,0,0,1,0,0,0,0,0,21,1,7,0,0,17,0,7,6,20
gene1420,0,0,0,0,0,0,0,0,1,0,75,0,28,0,17,0,165,940,0,0
gene1421,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
gene1422,0,0,0,0,4,22,0,14710,0,0,0,0,0,0,0,1,1,0,0,0
gene1423,705,0,0,0,0,0,667,0,0,0,0,0,2,0,0,0,0,0,0,1
gene1424,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
gene1425,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene1426,0,20,0,9,0,3,0,19,0,7,0,0,0,0,0,0,0,0,1,0
gene1427,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,18,1,26,1,0
gene1428,0,0,0,0,0,0,0,0,0,0,1109,91,9,51,0,67,0,0,0,16
gene1429,0,0,0,0,0,0,0,0,0,0,1,326,11,6,7,4,6,146,32,4
gene1430,0,16906,0,1,0,8980,0,602,0,0,0,0,1,0,0,10,0,0,0,0
gene1431,1876,0,3,12,1,0,1,16,170,0,1,0,671,36,111,0,0,0,4,0
gene1432,0,11,42,1,0,9,0,0,7,0,1,0,0,0,0,0,0,0,0,0
gene1433,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,1,1,3,0
gene1434,0,0,0,0,0,0,0,0,499,0,0,8,301,0,0,0,111,0,0,0
gene1435,0,3,0,0,0,0,58,0,0,0,2,0,2,1,1,9,5,0,3,2
gene1436,0,0,0,1,0,0,0,0,0,0,2,5,2,9,2,0,6,3,0,4
gene1437,0,1,0,0,0,0,0,0,1,1,1,5,12,8,3,0,2,6,16,0
gene1438,7,0,1,7,0,2,0,0,0,0,6,0,0,0,2268,0,1,0,1421,0
gene1439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,9,2345,1,0,0
gene1440,0,48,3,8,0,20,48,93,18,0,738,0,0,0,0,6468,5563,0,27271,0
gene1441,0,0,0,0,0,0,0,0,0,0,3,0,1,4,3,0,3,7,1,1
gene1442,65,8,10,15,2,5,12,94,13,0,0,0,0,0,0,0,0,1,0,0
gene1443,2,0,2,1,0,4,1,1,5,1,2,0,1,2,2,0,1,4,0,2
gene1444,1,1,3,1,1,1,0,1,2,1,2,0,0,21,9,7,0,2,1,23
gene1445,0,0,0,9,359,14,1239,1,1,927,0,0,10,3,0,2,0,2,3,3
gene1446,0,2720,29310,455,458,0,25404,14627,524,8,17325,904695,214,172021,887192,294199,6167,92829,1,70020
gene1447,0,0,1,0,0,20,16,0,0,0,1078,190,658,2792,7768,457,1513,826,1269,167
gene1448,0,171,502,2,0,4681,0,0,50,198,0,311,0,0,0,0,371,0,0,5
gene1449,0,0,0,0,0,0,0,0,0,1,0,8,1,3,2,14,0,4,0,0
gene1450,0,1,1,3,0,0,2,0,1,1,3,0,6,0,0,1,1,0,1,0
gene1451,0,0,0,0,54,0,0,0,0,0,33,34,0,8,16,12,5,239,238,20
gene1452,0,0,0,1,0,0,0,0,0,0,0,15,11,8,35,31,22,10,2,5
gene1453,3,7,0,2,0,0,0,2,0,0,1883,0,0,2351,66,20,1253,136,0,0
gene1454,0,0,2,2,0,0,1,0,0,0,0,0,0,2,1,0,49,413,0,0
gene1455,5366,1795,7578,15808,0,5315,12326,13422,3,3230,0,0,0,0,0,0,0,1,1,0
gene1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gene1457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene1458,1,1,12,1,356,28,0,0,32,9,0,10,13,0,5,4,14,3,0,4
gene1459,0,0,0,0,0,0,0,0,0,0,0,0,0,269,510,46,90,30,0,22
gene1460,0,0,1,237,431,60,544,37,3,206,0,1,1,3,0,1,0,1,0,0
gene1461,0,184,0,12,3,0,0,257,2,1,7722,41834,1584,161,0,519,190,1,0,0
gene1462,0,0,307,0,0,0,0,22,0,0,0,0,1,0,39,36,0,15,41,72
gene1463,0,302,0,0,0,25,0,10905,0,2856,0,1,0,0,0,0,0,1,3214,0
gene1464,40,14,7,32,1,29,7,27,57,47,0,0,1,0,0,0,1,0,0,62
gene1465,0,0,0,0,0,0,0,0,1,1,0,326,127,0,391,0,0,0,30,0
gene1466,0,0,1520,0,0,0,0,7,0,0,0,0,1,1,2,1,0,1,0,1
gene1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1468,0,0,0,0,2,1,2,1,1,1,7,10,0,0,1,1,1,15,24,54
gene1469,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,7,4,2,4,2
gene1470,0,0,0,0,0,0,0,0,0,0,14789,0,19,15,201,259,47,197,5828,0
gene1471,0,0,5,0,8,22,12,1,0,8,0,4,0,0,43,0,0,12,10,0
gene1472,0,0,3252,0,255,0,0,75,0,0,0,0,0,2,0,1,0,0,0,0
gene1473,0,0,1,0,2,0,1,0,0,0,1,38,39,67,22,0,0,192,0,6
gene1474,0,0,0,44845,11100,0,0,0,0,17,0,2468,1,0,0,2,0,5,0,28882
gene1475,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,3414,0,0,113,0
gene1476,0,0,0,0,0,0,0,0,0,0,561,520,69,283,49,106,144,256,95,1151
gene1477,1,0,0,1,0,0,0,0,0,0,0,20,0,53,0,0,0,6,0,0
gene1478,0,0,0,0,0,0,0,0,0,0,1,18,2,42,5,0,1,1,83,4
gene1479,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
gene1480,0,0,9,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
gene1481,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1482,215,231,33,0,171,10,203,46,88,60,1,10,1,0,7,0,0,23,0,1
gene1483,0,0,6,0,0,0,0,0,1,0,10,8,0,10,0,0,132,186,54,1
gene1484,0,11,191,0,13,2,0,5,138,0,1,0,1,0,1,5,1,0,0,0
gene1485,9,3,4,3,2,2,6,4,1,3,0,0,0,0,0,0,0,0,0,0
gene1486,0,0,3,0,0,0,0,0,1,0,0,5,0,53,956,0,0,1430,0,458
gene1487,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,1,1,1,1,1
gene1488,0,0,0,0,0,0,0,0,0,0,1959,0,0,3252,0,0,0,0,0,0
gene1489,206,262,592,985,426,61,25,489,618,145,2,1,1,4,0,0,3,1,4,1
gene1490,3,0,438,0,166,331,116,89,0,35,0,0,0,1,1,0,0,1,0,0
gene1491,0,163,335,1,9,38,1,0,4,87,3,1,1,5,0,7,4,0,2,6
gene1492,0,0,0,1,0,1,0,0,0,2,0,0,0,5424,0,0,0,0,0,0
gene1493,1,0,0,0,0,1,0,0,0,0,11,140,262,4,580,49,33,230,112,200
gene1494,0,5,64,0,74,16,1,91,15,0,2,23,1,0,0,0,2,3893,0,0
gene1495,16,7,0,1,0,1,0,2,3,1,1,0,0,1,1,2,1,0,0,0
gene1496,103,0,0,0,0,977,0,0,0,0,0,0,627,0,0,0,0,0,0,0
gene1497,0,0,0,1,0,1,0,0,0,0,43,0,0,0,0,109,0,77,575,0
gene1498,39,17,21,4,0,0,46,2,25,123,0,0,1,0,0,0,0,0,0,0
gene1499,4,1,3,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,3,1
gene1500,0,0,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1502,0,0,0,0,0,0,0,0,0,0,0,0,0,28755,0,0,450,0,0,0
gene1503,0,0,0,0,0,0,0,0,0,0,29,7,7,3,10,6,28,28,5,0
gene1504,22,3,9,2,0,0,16,3,20,0,225,314,106,2952,79,78,757,1922,52,674
gene1505,29,45,0,0,9,1,3,0,0,2,1134,0,909,13,19,0,1,41,522,73
gene1506,0,1,1,9,6,4,0,2,8,2,2247,0,0,1,0,0,0,27,22,168
gene1507,0,2,3,0,0,4,1,5,1,2,0,0,1,1,2,0,0,0,1,0
gene1508,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,2,78,0,0,1
gene1509,1,2,3,1,1,6,0,6,0,0,6,0,0,12,1,3,6,5,4,21
gene1510,0,3,22,0,2,1,1,0,0,2,36,74,0,120,1,0,151,54,487,12
gene1511,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene1512,0,1,1,0,0,0,3,2,0,0,3,1,392,4,7,12,0,0,0,74
gene1513,21,3,21,0,1,0,67,38,19,41,1,0,0,0,1,0,0,0,0,0
gene1514,0,0,1,0,20,7,0,0,0,1,0,2,14,1,10,0,0,0,0,4
gene1515,0,0,0,1,0,0,0,0,1,1,0,0,54184,0,0,0,0,0,0,0
gene1516,406,7,0,0,0,0,0,0,0,34,21,48,5,0,11,93,8,13,0,1
gene1517,45,16,13,71,49,52,0,1,10,2,0,0,0,0,0,0,0,0,0,0
gene1518,3,4,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
gene1519,0,1201,436,385,0,0,0,0,0,1130,0,0,0,0,0,0,417,1,0,51
gene1520,0,0,33,0,0,0,0,0,15341,0,0,0,0,0,0,0,0,1,0,0
gene1521,1,0,0,0,0,2,0,0,2,1,53,579,0,0,0,0,0,0,0,0
gene1522,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
gene1523,17,0,0,3,63,0,29,8,0,3,72,0,1669,0,0,0,0,3,0,0
gene1524,0,0,0,2,0,0,0,1,2,0,52,55,34,0,16,15,0,0,1,0
gene1525,0,0,0,0,0,0,1,1,0,0,5,0,3032,0,696,1,0,0,137,0
gene1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1527,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,1,0,3,0
gene1528,21,0,45,4,7,3,51,7,6,6,0,0,0,0,0,0,0,0,0,0
gene1529,1,0,0,8,6,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
gene1530,736104,0,2,0,5,0,33858,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1531,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,2,0
gene1532,0,1,0,0,0,0,0,0,0,0,0,14,0,0,17,0,0,1,0,14
gene1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1534,4,0,0,0,0,0,0,0,1,0,8,116,286,7047,0,385,0,530,543,50
gene1535,7,2,0,1,2,5,0,5,0,1,4,0,0,0,0,0,0,10,0,1
gene1536,10,142,182,97,26,85,43,63,39,127,0,0,0,0,0,0,0,1,0,0
gene1537,12,17,0,1,2,6,12,0,0,5,0,0,0,0,0,0,0,0,0,0
gene1538,0,0,0,0,0,1,0,0,0,0,6,0,0,12,0,15,15,362,0,29
gene1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gene1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1541,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,3,0,0,0,2
gene1542,2,0,0,3927,0,0,312,602,0,1,2,1,0,54,0,64,41,2,34,18
gene1543,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,32,0,4
gene1544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,70,14,1
gene1545,10,0,0,0,87,0,0,0,1097,486,0,0,0,8,0,0,0,0,0,790
gene1546,1,18,0,3,0,1,0,1,0,6,0,2,0,0,0,0,0,0,0,0
gene1547,1964,1,1510,830,0,0,1661,0,0,0,0,1,0,2,0,0,0,0,1,2
gene1548,717,0,303,0,0,0,949,8,2944,22,0,0,0,0,0,0,0,0,0,0
gene1549,0,27,537,2,0,0,0,0,0,2,0,0,595,0,0,0,0,0,3,0
gene1550,0,0,0,0,0,0,0,0,0,0,183237,7,43086,22388,16792,76,9,629,148,0
gene1551,3,1,25,3,90,21,10,44,2,0,0,1,0,0,0,0,0,0,0,0
gene1552,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene1553,0,0,11,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0
gene1554,0,25,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,16,0
gene1555,0,0,0,0,0,0,0,0,0,0,5,12,2,13,18,4,3,2,8,4
gene1556,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,16
gene1557,0,0,1,3,32,1,0,51,0,1,0,0,0,0,0,0,0,0,183,0
gene1558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2152,0,223,0,1
gene1559,0,0,0,0,0,0,0,0,0,0,0,1783,14,858,0,0,0,0,157,0
gene1560,0,0,0,1,0,0,0,0,0,0,977,0,0,0,1082,0,0,186,0,339
gene1561,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0
gene1562,0,1,2,0,0,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0
gene1563,1,1,1,0,0,0,2,1,3,0,468,28075,0,0,0,53,133,0,0,76
gene1564,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1565,274,11,4069,4,0,8,53,0,63,0,0,2226,314,0,0,0,0,0,3547,0
gene1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
gene1567,0,0,0,0,0,0,0,0,0,1,4,154,0,30,87,34,66,600,168,2
gene1568,0,0,7,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0
gene1569,0,3,3,0,6,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0
gene1570,2,0,0,0,1,0,2,1,1,2,0,0,0,0,1,0,0,0,0,1
gene1571,0,0,0,5,0,5,2,4,0,12,0,0,0,0,0,0,0,0,0,0
gene1572,56,0,4303,5580,862,676,0,4,0,56,2,0,9,0,0,1,0,0,2,0
gene1573,0,1,0,1,0,0,1,0,0,0,443,58,10,33,65,29,379,144,1,0
gene1574,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
gene1575,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1576,7,12,8,2,0,0,6,2,7,12,0,0,0,1,0,0,0,0,0,0
gene1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1578,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
gene1579,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
gene1580,2,0,22,1,17,0,0,6,98,7,0,1,0,0,0,0,0,0,1,5
gene1581,0,5,404,0,5,0,1,172,1,2,0,0,0,0,0,0,0,1,0,0
gene1582,0,0,0,43,0,3,0,0,33,0,7,14,0,0,0,6,0,0,0,41
gene1583,258,0,0,18,0,0,2323,13,127,0,0,0,16,91,0,0,0,0,0,0
gene1584,0,0,2,0,1,0,0,0,1,1,0,0,41,0,0,0,143,0,4,2
gene1585,284,2,2689,0,0,11,23,56,14815,22,0,0,0,0,4820,0,0,0,0,0
gene1586,206,3312,591,0,0,16,79,0,241,86,37,0,0,0,0,0,1,23,0,0
gene1587,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,101,0,78,31
gene1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1589,7,6,0,23,13,1,9,2,10,9,1,0,0,0,0,0,1,0,0,0
gene1590,181,4,18,0,47,67,210,43,165,58,0,2,0,4,0,4,4,1,1,2
gene1591,0,162,57,0,4,2,4,1,0,98,2,0,1,3,1,3,0,0,0,0
gene1592,0,0,0,0,0,0,0,1,0,0,0,28,0,2,174,0,3,3,0,146
gene1593,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1594,0,1940,0,3100,2646,0,6063,9,0,0,0,0,1,1,0,0,0,1,1,0
gene1595,0,0,0,0,0,0,0,0,164,10,1027,236,31,31,156,185,75,529,249,217
gene1596,0,0,0,0,0,0,0,0,0,0,0,12,42,1,29,0,0,0,45,5
gene1597,0,0,0,0,0,0,0,0,0,0,4,0,671,130,0,0,6,22,0,365
gene1598,279,0,0,0,4551,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
gene1599,0,0,0,339,0,0,0,0,0,0,125,19,2,0,64,1,0,0,22,0
gene1600,0,0,0,1,3,0,1,1,1,0,0,0,57,10044,0,0,347,0,0,9876
gene1601,0,0,0,0,1,1,1,9,0,2,0,0,0,0,0,1,0,0,0,0
gene1602,0,0,0,2417,1204,0,366,0,0,0,0,0,0,0,13,2,0,0,0,0
gene1603,15,0,0,413,0,0,4,0,2929,0,0,1,1,0,0,0,0,0,0,0
gene1604,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
gene1605,0,0,0,0,0,0,0,0,0,0,0,63666,0,0,0,0,0,0,3,0
gene1606,1,0,0,3,5,1,3,3,5,0,5,3,1,0,0,1,0,0,0,1
gene1607,78,0,0,0,2,0,38,1,335,889,0,30,0,54,0,1,0,35,1044,0
gene1608,1,0,0,0,0,1,0,1,0,0,0,3,25,0,1,83,0,117,1,0
gene1609,4,116,0,9,93,3,162,17,9,97,0,0,0,0,0,0,0,0,0,0
gene1610,0,0,0,0,0,0,0,0,0,0,7240,111,0,10,0,4,0,0,48242,0
gene1611,23338,257,1,0,16830,469,2719,0,6060,9581,0,0,1,0,0,1,0,0,1,8
gene1612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene1613,3,1,1,0,0,0,3,1,3,2,0,510,0,0,0,2209,0,0,3,7386
gene1614,0,0,29,43,4,0,2,18,1,0,0,0,0,0,0,1,1,0,0,6
gene1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1616,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gene1617,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
gene1618,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,0,0,3
gene1619,0,1,1,1,0,0,0,2,2,0,0,8,30,0,2,78,71,1,127,1
gene1620,5,2,3,3,3,1,0,3,0,2,0,0,83,12,0,0,2,0,0,0
gene1621,0,0,0,0,0,0,0,35,2511,10220,194,241,3133,0,3,14,0,1,0,55
gene1622,0,1,0,3,0,0,0,4,0,4,5048,0,0,0,28,0,0,4455,684,0
gene1623,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1624,1,1,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0
gene1625,7934,46,0,11,0,29057,3653,630,0,15940,0,1,0,1,0,1,0,2,0,3
gene1626,0,1,0,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0
gene1627,0,2864,0,1253,6,0,48159,0,0,0,0,3,0,0,0,0,0,6,0,11
gene1628,0,0,0,0,4,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1629,0,1,0,0,0,0,0,0,0,0,0,1092,41,2359,0,7,0,0,7453,0
gene1630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1631,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,230
gene1632,0,0,0,0,0,0,1,0,0,1,0,0,0,4366,171,4653,0,0,1,0
gene1633,0,0,0,0,0,0,0,0,0,0,6116,202,194,14907,28,11073,18202,4714,249,22
gene1634,2,271,62,0,0,70,0,2,641,71,0,0,0,0,0,0,0,0,0,0
gene1635,1,0,2,22,0,3,1,16,5,0,0,0,0,0,0,1,0,0,0,0
gene1636,0,0,0,0,0,0,42,0,0,0,0,409,0,0,10702,0,0,0,0,0
gene1637,0,0,726,0,488,0,90,61,40,11,0,0,0,0,0,278256,0,0,0,0
gene1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1639,300,0,0,1283,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
gene1640,1,1,0,0,0,2,0,0,0,0,6,0,0,4,4,0,1,6,0,0
gene1641,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0
gene1642,1,9,1,0,0,0,0,21,0,4,0,0,0,2,1,0,0,0,0,0
gene1643,2034,758,112,0,4,1,264,0,0,1,0,0,0,0,0,0,0,0,0,0
gene1644,0,27,1,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,1
gene1645,125,394,1,473,6,589,0,105,0,0,0,0,0,0,0,0,0,0,0,0
gene1646,0,21,2,2,0,0,0,0,29,197,0,1,0,1,1,0,0,1,0,0
gene1647,4,0,0,16,3,3,1,0,3,12,0,0,0,0,0,0,0,0,0,0
gene1648,0,0,20,0,0,0,0,33,0,46,4,1,0,0,2,0,0,3,3,1
gene1649,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1
gene1650,0,0,0,0,0,0,0,0,0,0,0,0,109,4,5943,0,0,0,0,0
gene1651,3,1,1,0,2,0,0,0,0,13,0,23306,4,4244,0,0,21,0,2206,0
gene1652,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,2,0,2
gene1653,0,0,22,221,8,0,1,0,0,1,9,4,3,2,25,1,10,6,12,8
gene1654,0,0,0,0,1,0,0,0,0,0,23,12,0,1,7,0,6,14,0,0
gene1655,0,2755,0,0,0,0,0,177027,43407,1046,0,0,0,0,0,0,0,0,0,0
gene1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
gene1658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1659,0,0,2,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
gene1660,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
gene1661,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1662,0,0,0,1,0,1,0,0,0,0,0,0,4,2,1,2,1,0,0,0
gene1663,0,0,26,0,0,0,4,29,0,0,0,0,0,0,0,0,0,1,0,0
gene1664,1,0,12,7,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
gene1665,13,5,13,16,0,19,4,3,1,14,0,189,1,0,0,0,0,0,0,0
gene1666,0,0,0,0,0,0,0,0,0,0,2747,1553,0,262,1529,64331,7446,52,136,30895
gene1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1668,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,6,7,0,1,0
gene1669,0,1,0,0,0,0,0,0,0,0,6,8,10,2,1,3,2,17,9,6
gene1670,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
gene1671,0,0,0,0,0,0,0,0,0,0,0,1,0,39,4312,0,0,0,0,0
gene1672,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene1673,0,0,0,0,1,1,2,1,0,1,1,0,1,3,0,0,3,3,0,0
gene1674,0,0,16,3,12,11,0,1,2,0,0,0,0,1,0,0,0,0,0,0
gene1675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1676,0,0,0,0,0,0,0,0,0,0,23,25,19,0,108,0,26,22,9,47
gene1677,0,328,0,0,0,0,0,0,16,0,4,0,0,0,1,0,0,5,4,0
gene1678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1681,3993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1682,0,0,0,0,0,1,20,0,2,0,0,11,0,0,0,42,597,1,2,0
gene1683,0,0,0,3,816,809,0,11,0,0,0,0,0,0,1913,245807,0,0,0,0
gene1684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
gene1685,1,0,0,0,4,2,4,0,0,0,0,3,2744,44869,13,0,83267,1542,5893,0
gene1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene1687,338,3,0,1056,9,0,0,9,222,0,25,0,0,101,0,0,25,1,2,0
gene1688,0,61,0,0,0,0,0,1234,0,82,0,0,0,1,480,6,0,9,0,1
gene1689,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,372,0,1,0,0
gene1690,0,0,0,0,0,67,0,4,17,0,1,17391,0,0,0,0,0,0,0,0
gene1691,0,0,0,15,0,17,3,2,4,0,0,4,3,3,0,0,9,12,4,3
gene1692,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gene1693,0,238,609,0,3060,0,340,1,298,0,2,5,3,0,2,5,0,12,0,0
gene1694,0,2713,0,0,0,0,0,74849,1367,0,0,0,55,0,0,4,5,0,1,0
gene1695,0,1,0,1,0,0,0,0,0,0,1,6,8,1,4,0,52,101,41,0
gene1696,1,1,2,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0
gene1697,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,40,0
gene1698,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gene1699,0,5,3,1,3,0,1,5,0,7,0,0,0,0,2,0,0,1,0,1
gene1700,168,0,0,4,0,45,0,1,15,266,0,2,0,0,105,0,12,1,0,3
gene1701,5,0,5,0,1,2,1,1,8,0,0,2,4,0,2,5,1,0,0,0
